	CÓDIGO DA OCORRÊNCIA	CLASSIFICAÇÃO	TIPO DE OCORRÊNCIA	LOCALIDADE	UF	PAÍS	DIA DA OCORRÊNCIA	STATUS DA INVESTIGAÇÃO	CONTAGEM
1919	39275	ACIDENTE	FALHA DE SISTEMA / COMPONENTE	SÃO PAULO	SP	BRASIL	2010-02-10	FINALIZADA	1
1920	35679	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	SÃO PAULO	SP	BRASIL	2009-01-25	ATIVA	1
1921	38641	ACIDENTE	PANE SECA	SÃO PAULO	SP	BRASIL	2009-09-25	FINALIZADA	1
1922	46368	ACIDENTE	PERDA DE CONTROLE EM VOO	SÃO PAULO	SP	BRASIL	2012-09-24	FINALIZADA	1
1923	44541	ACIDENTE	DESORIENTAÇÃO ESPACIAL	SÃO PEDRO	SP	BRASIL	2011-05-16	ATIVA	1
1924	45056	ACIDENTE	COLISÃO EM VOO COM OBSTÁCULO	SÃO SEBASTIÃO	SP	BRASIL	2011-08-30	FINALIZADA	1
1925	45401	ACIDENTE	FALHA DO MOTOR EM VOO	SÃO SEBASTIÃO	SP	BRASIL	2012-01-06		1
1926	41377	ACIDENTE	POUSO BRUSCO	SERRA NEGRA	SP	BRASIL	2010-02-14	FINALIZADA	1
1927	60645	ACIDENTE	PANE SECA	SERTÃOZINHO	SP	BRASIL	2015-12-15	ATIVA	1
1928	46594	INCIDENTE GRAVE	COM TREM DE POUSO	POÇOS DE CALDAS	MG	BRASIL	2012-10-13	FINALIZADA	1
1929	45215	INCIDENTE GRAVE	PERDA DE CONTROLE EM VOO	POÇOS DE CALDAS	MG	BRASIL	2011-10-14	ATIVA	1
1930	40621	INCIDENTE GRAVE	COM TREM DE POUSO	POÇOS DE CALDAS	MG	BRASIL	2010-05-05	ATIVA	1
1931	45071	ACIDENTE	CAUSADO POR FENÔMENO METEOROLÓGICO EM VOO	POMPÉU	MG	BRASIL	2011-09-17	ATIVA	1
1932	51016	INCIDENTE GRAVE	PERDA DE CONTROLE NO SOLO	SOROCABA	SP	BRASIL	2014-02-21		1
1933	48658	ACIDENTE	FALHA DO MOTOR EM VOO	SOROCABA	SP	BRASIL	2013-05-29		1
1934	38421	INCIDENTE GRAVE	POUSO SEM TREM	SOROCABA	SP	BRASIL	2009-08-26	ATIVA	1
1935	38358	ACIDENTE	POUSO ANTES DA PISTA	SOROCABA	SP	BRASIL	2009-07-31	ATIVA	1
1936	34016	ACIDENTE	OUTROS TIPOS	SOROCABA	SP	BRASIL	2008-10-12	ATIVA	1
1937	46496	ACIDENTE	COM ROTOR	SOROCABA	SP	BRASIL	2012-10-31	FINALIZADA	1
1938	50343	ACIDENTE	POUSO BRUSCO	SOROCABA	SP	BRASIL	2013-12-05	FINALIZADA	1
1939	36216	ACIDENTE	POUSO BRUSCO	SOROCABA	SP	BRASIL	2009-04-01	FINALIZADA	1
1940	44903	INCIDENTE GRAVE	FALHA DO MOTOR EM VOO	SOROCABA	SP	BRASIL	2011-08-06	ATIVA	1
1941	45619	ACIDENTE	PERDA DE CONTROLE EM VOO	SOROCABA	SP	BRASIL	2012-03-19		1
1942	51007	ACIDENTE	COM TREM DE POUSO	SOROCABA	SP	BRASIL	2014-04-24	FINALIZADA	1
1943	33221	ACIDENTE	POUSO BRUSCO	SOROCABA	SP	BRASIL	2008-07-09	ATIVA	1
1944	50801	ACIDENTE	COLISÃO COM AERONAVE NO SOLO	SOROCABA	SP	BRASIL	2014-02-01	ATIVA	1
1945	46045	ACIDENTE	PANE SECA	PRATA	MG	BRASIL	2012-06-30	FINALIZADA	1
1946	38075	ACIDENTE	FALHA DO MOTOR EM VOO	PRATINHA	MG	BRASIL	2009-07-12	ATIVA	1
1947	52974	ACIDENTE	PERDA DE CONTROLE EM VOO	PRESIDENTE OLEGÁRIO	MG	BRASIL	2015-02-02	ATIVA	1
1948	46900	ACIDENTE	PERDA DE CONTROLE EM VOO	QUELUZITO	MG	BRASIL	2012-02-07	ATIVA	1
1949	52636	ACIDENTE	PERDA DE CONTROLE NO SOLO	TATUÍ	SP	BRASIL	2014-10-11	ATIVA	1
